"AGE","GEO","TIME","SEX","UNIT","Value"
"Total","European Union - 27 countries (2007-2013)","1979","Total","Number","455.279.744"
"Total","European Union - 27 countries (2007-2013)","1979","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1979","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1980","Total","Number","457.153.675"
"Total","European Union - 27 countries (2007-2013)","1980","Males","Number","222.137.483"
"Total","European Union - 27 countries (2007-2013)","1980","Females","Number","235.016.192"
"Total","European Union - 27 countries (2007-2013)","1981","Total","Number","459.111.142"
"Total","European Union - 27 countries (2007-2013)","1981","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1981","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1982","Total","Number","460.597.191"
"Total","European Union - 27 countries (2007-2013)","1982","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1982","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1983","Total","Number","461.763.965"
"Total","European Union - 27 countries (2007-2013)","1983","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1983","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1984","Total","Number","462.699.342"
"Total","European Union - 27 countries (2007-2013)","1984","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1984","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1985","Total","Number","463.698.160"
"Total","European Union - 27 countries (2007-2013)","1985","Males","Number","225.302.129"
"Total","European Union - 27 countries (2007-2013)","1985","Females","Number","238.396.031"
"Total","European Union - 27 countries (2007-2013)","1986","Total","Number","464.783.282"
"Total","European Union - 27 countries (2007-2013)","1986","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1986","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1987","Total","Number","466.100.932"
"Total","European Union - 27 countries (2007-2013)","1987","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1987","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1988","Total","Number","467.330.695"
"Total","European Union - 27 countries (2007-2013)","1988","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1988","Females","Number",":"
