"";"Drzava";"Leto";"BDP.E"
"511";"Slovakia";2004;34702,3
"512";"Slovakia";2005;39348,3
"513";"Slovakia";2006;45530,2
"514";"Slovakia";2007;56241,6
"515";"Slovakia";2008;66002,8
"516";"Slovakia";2009;64023,1
"517";"Slovakia";2010;67577,3
"518";"Slovakia";2011;70627,2
"519";"Slovakia";2012;72703,5
"520";"Slovakia";2013;74169,9
"521";"Slovakia";2014;76087,8
"522";"Slovakia";2015;79138,2
"523";"Slovakia";2016;81226,1
"524";"Slovakia";2017;84850,9
"525";"Slovakia";2018;90201,8
"526";"Finland";1998;119733,4
"527";"Finland";1999;126916
"528";"Finland";2000;136442
"529";"Finland";2001;144628
"530";"Finland";2002;148486
"531";"Finland";2003;151749
"532";"Finland";2004;158758
"533";"Finland";2005;164687
"534";"Finland";2006;172897
"535";"Finland";2007;187072
"536";"Finland";2008;194265
"537";"Finland";2009;181747
"538";"Finland";2010;188143
"539";"Finland";2011;197998
"540";"Finland";2012;201037
"541";"Finland";2013;204321
"542";"Finland";2014;206897
"543";"Finland";2015;211516
"544";"Finland";2016;217484
"545";"Finland";2017;225785
"546";"Finland";2018;234453
"547";"Sweden";1998;239780,2
"548";"Sweden";1999;255440,6
"549";"Sweden";2000;283525,1
"550";"Sweden";2001;268987,8
"551";"Sweden";2002;282019,4
"552";"Sweden";2003;294472,7
"553";"Sweden";2004;308173,7
"554";"Sweden";2005;313789,7
"555";"Sweden";2006;335029,3
"556";"Sweden";2007;356548,7
"557";"Sweden";2008;353309,7
"558";"Sweden";2009;313612
"559";"Sweden";2010;374329,5
"560";"Sweden";2011;411873,8
"561";"Sweden";2012;428825,4
"562";"Sweden";2013;440191,2
"563";"Sweden";2014;437540,9
"564";"Sweden";2015;454184,3
"565";"Sweden";2016;466347,6
"566";"Sweden";2017;479605,4
"567";"Sweden";2018;471196,2
"568";"United Kingdom";1998;1465396,3
"569";"United Kingdom";1999;1565349
"570";"United Kingdom";2000;1787328,5
"571";"United Kingdom";2001;1816204,4
"572";"United Kingdom";2002;1881201,6
"573";"United Kingdom";2003;1809053,6
"574";"United Kingdom";2004;1934479,7
"575";"United Kingdom";2005;2030934,5
"576";"United Kingdom";2006;2150267,7
"577";"United Kingdom";2007;2252450,5
"578";"United Kingdom";2008;1983970,5
"579";"United Kingdom";2009;1725383,3
"580";"United Kingdom";2010;1850538,6
"581";"United Kingdom";2011;1894900,2
"582";"United Kingdom";2012;2089628,4
"583";"United Kingdom";2013;2073978,5
"584";"United Kingdom";2014;2287866,6
"585";"United Kingdom";2015;2611924,1
"586";"United Kingdom";2016;2403382,6
"587";"United Kingdom";2017;2337971
"588";"United Kingdom";2018;2393692,8
"589";"Iceland";1998;7562,4
"590";"Iceland";1999;8408,4
"591";"Iceland";2000;9752,4
"592";"Iceland";2001;9144,4
"593";"Iceland";2002;9885,9
"594";"Iceland";2003;10104,6
"595";"Iceland";2004;11144
"596";"Iceland";2005;13535,5
"597";"Iceland";2006;13767,6
"598";"Iceland";2007;15726,8
"599";"Iceland";2008;10948,5
"600";"Iceland";2009;9426,4
"601";"Iceland";2010;10332,4
"602";"Iceland";2011;10889
"603";"Iceland";2012;11458,5
"604";"Iceland";2013;12064,1
"605";"Iceland";2014;13389,9
"606";"Iceland";2015;15679,8
"607";"Iceland";2016;18646,1
"608";"Iceland";2017;21677,2
"609";"Iceland";2018;21987,7
"610";"Liechtenstein";2013;4812,4
"611";"Liechtenstein";2014;5021,7
"612";"Liechtenstein";2015;5649,1
"613";"Liechtenstein";2016;5617,2
"614";"Liechtenstein";2017;5717,4
"615";"Norway";1998;137395,7
"616";"Norway";1999;152301,8
"617";"Norway";2000;185788,4
"618";"Norway";2001;194362,4
"619";"Norway";2002;207898,4
"620";"Norway";2003;202462
"621";"Norway";2004;213032,7
"622";"Norway";2005;248462,6
"623";"Norway";2006;275414,7
"624";"Norway";2007;293167
"625";"Norway";2008;317021,5
"626";"Norway";2009;278246,6
"627";"Norway";2010;323760,9
"628";"Norway";2011;358339,5
"629";"Norway";2012;396523,5
"630";"Norway";2013;393408,7
"631";"Norway";2014;375947,3
"632";"Norway";2015;347632,1
"633";"Norway";2016;333471,3
"634";"Norway";2017;353316,4
"635";"Norway";2018;367893,7
"636";"Switzerland";1998;263721,3
"637";"Switzerland";1999;272140,8
"638";"Switzerland";2000;294914,3
"639";"Switzerland";2001;311299,6
"640";"Switzerland";2002;320237,2
"641";"Switzerland";2003;312431
"642";"Switzerland";2004;317491,3
"643";"Switzerland";2005;328683,1
"644";"Switzerland";2006;343498,6
"645";"Switzerland";2007;350695,8
"646";"Switzerland";2008;378248,1
"647";"Switzerland";2009;390207,3
"648";"Switzerland";2010;441086
"649";"Switzerland";2011;504020,8
"650";"Switzerland";2012;519716,3
"651";"Switzerland";2013;518379,5
"652";"Switzerland";2014;534923,4
"653";"Switzerland";2015;612658,5
"654";"Switzerland";2016;606773,1
"655";"Switzerland";2017;602268,6
"656";"Switzerland";2018;597008,7
"657";"Montenegro";2006;2169,6
"658";"Montenegro";2007;2689,1
"659";"Montenegro";2008;3103,3
"660";"Montenegro";2009;2993,9
"661";"Montenegro";2010;3125,1
"662";"Montenegro";2011;3264,8
"663";"Montenegro";2012;3181,5
"664";"Montenegro";2013;3362,5
"665";"Montenegro";2014;3457,9
"666";"Montenegro";2015;3654,5
"667";"Montenegro";2016;3954,2
"668";"Montenegro";2017;4299,1
"669";"Montenegro";2018;4663,1
"670";"North Macedonia";2000;4094,6
"671";"North Macedonia";2001;4143,5
"672";"North Macedonia";2002;4240,5
